timestamp,src_ip,dst_port,protocol,bytes,status
2026-03-02T11:00:01,10.2.0.5,443,tcp,4000,success
2026-03-02T11:00:04,10.2.0.6,53,udp,120,success
2026-03-02T11:00:09,10.2.0.5,443,tcp,6500,success
2026-03-02T11:00:15,10.2.0.7,8080,tcp,300,failed
2026-03-02T11:00:22,10.2.0.6,53,udp,90,success
2026-03-02T11:00:30,10.2.0.5,443,tcp,2200,success
2026-03-02T11:00:35,10.2.0.7,8080,tcp,150,failed
2026-03-02T11:00:41,10.2.0.7,8080,tcp,200,failed
2026-03-02T11:00:48,10.2.0.8,22,tcp,50,failed
2026-03-02T11:00:55,10.2.0.5,443,tcp,8000,success
